Year,Query emissions (g),Task
2023,0.598911663,Text classification
2023,0.600173593,Token classification
2023,0.601310801,Token classification
2023,0.6014806427412001,Text classification
2023,0.6021082679181999,Token classification
2023,0.60279066,Text classification
2023,0.6031342538598999,Token classification
2023,0.6033452219279001,Token classification
2023,0.603847051,Text classification
2023,0.60429868,Token classification
2023,0.604375549,Token classification
2023,0.604762014,Token classification
2023,0.6047729484598999,Token classification
2023,0.605163222,Text classification
2023,0.6051816221858001,Text classification
2023,0.605595093,Token classification
2023,0.6070400674438999,Text classification
2023,0.607257549,Text classification
2023,0.6074323301193001,Token classification
2023,0.607524484,Token classification
2023,0.607997406,Token classification
2023,0.608444413,Token classification
2023,0.6086514522704001,Token classification
2023,0.6086851399752999,Token classification
2023,0.61052975,Token classification
2023,0.6134827574738999,Text classification
2023,0.614891352,Text classification
2023,0.614980797,Token classification
2023,0.616295971,Token classification
2023,0.6167439833478999,Token classification
2023,0.6169065841307001,Token classification
2023,0.618330442,Token classification
2023,0.618785153,Token classification
2023,0.6208087952535001,Text classification
2023,0.621759808,Token classification
2023,0.623732187,Token classification
2023,0.624304332,Token classification
2023,0.624312837,Text classification
2023,0.625730632,Token classification
2023,0.629448578,Text classification
2023,0.6303944279261999,Text classification
2023,0.630719867,Text classification
2023,0.631830052,Token classification
2023,0.6339491628088001,Text classification
2023,0.63451246,Token classification
2023,0.635815063,Token classification
2023,0.638137023,Text classification
2023,0.638504264,Fill mask
2023,0.638539734,Text classification
2023,0.638544227,Text classification
2023,0.640420151,Token classification
2023,0.641370583,Token classification
2023,0.643098792,Fill mask
2023,0.643396072,Token classification
2023,0.6439178847163001,Token classification
2023,0.645916946,Fill mask
2023,0.6462112445178001,Token classification
2023,0.6469033315737001,Text classification
2023,0.647858464,Text classification
2023,0.647926986,Token classification
2023,0.648073754,Token classification
2023,0.6518963155517999,Text classification
2023,0.6521567378580001,Token classification
2023,0.65289713,Fill mask
2023,0.6555865340140999,Token classification
2023,0.655964311,Text classification
2023,0.6578205499047001,Token classification
2023,0.6618028793838999,Token classification
2023,0.66273868,Token classification
2023,0.662806442,Token classification
2023,0.667182973,Token classification
2023,0.669813167,Fill mask
2023,0.671504107,Token classification
2023,0.67258873,Token classification
2023,0.674507953,Question answering
2023,0.67458999,Question answering
2023,0.674703202,Question answering
2023,0.6748934706763999,Question answering
2023,0.675314893,Question answering
2023,0.675657633,Question answering
2023,0.675721957,Question answering
2023,0.676152256,Question answering
2023,0.676176792,Question answering
2023,0.676255098,Question answering
2023,0.6765127,Question answering
2023,0.676770462,Question answering
2023,0.6770191720063999,Question answering
2023,0.677108936,Question answering
2023,0.677206673,Question answering
2023,0.6777513169795001,Question answering
2023,0.677836066,Question answering
2023,0.678343467,Question answering
2023,0.6785642582046001,Question answering
2023,0.678894525,Question answering
2023,0.678924446,Question answering
2023,0.678926155,Question answering
2023,0.6790480564131001,Question answering
2023,0.6792578573200999,Question answering
2023,0.6793321735273999,Question answering
2023,0.679405026,Fill mask
2023,0.679669288,Token classification
2023,0.679717652,Question answering
2023,0.679754992,Question answering
2023,0.679770952,Question answering
2023,0.679900382,Question answering
2023,0.67993391,Question answering
2023,0.6803141384513001,Fill mask
2023,0.680527103,Question answering
2023,0.680665944,Question answering
2023,0.6807801151783001,Question answering
2023,0.6808524242026001,Question answering
2023,0.681435104,Question answering
2023,0.6823611387453999,Question answering
2023,0.682465681,Question answering
2023,0.682687921,Question answering
2023,0.683049324,Fill mask
2023,0.687085251,Fill mask
2023,0.687785,Fill mask
2023,0.688623973,Fill mask
2023,0.6905717705539001,Fill mask
2023,0.691100673,Question answering
2023,0.693930253,Question answering
2023,0.698049981,Fill mask
2023,0.699144876,Fill mask
2023,0.7028616298721001,Image classification
2023,0.702905496,Fill mask
2023,0.706494176,Token classification
2023,0.706522223,Fill mask
2023,0.707900378,Fill mask
2023,0.7083782652163001,Fill mask
2023,0.708844437,Image classification
2023,0.709717168,Image classification
2023,0.7102269929782999,Fill mask
2023,0.710236849,Image classification
2023,0.710462109,Fill mask
2023,0.710875017,Image classification
2023,0.7109880097080999,Fill mask
2023,0.711832616,Fill mask
2023,0.71387965,Image classification
2023,0.714115269,Fill mask
2023,0.7141531154792999,Image classification
2023,0.714689768,Fill mask
2023,0.715134251,Image classification
2023,0.7151531751788001,Fill mask
2023,0.716845928,Image classification
2023,0.719603845,Fill mask
2023,0.720995412,Fill mask
2023,0.7219239117808001,Fill mask
2023,0.725217445,Fill mask
2023,0.7253455350851999,Fill mask
2023,0.72564237,Fill mask
2023,0.725869128,Fill mask
2023,0.728692714,Image classification
2023,0.7290339829032001,Question answering
2023,0.7301781791740001,Question answering
2023,0.731028398,Image classification
2023,0.731097907,Question answering
2023,0.731514755,Question answering
2023,0.731659719,Token classification
2023,0.7318539932502001,Fill mask
2023,0.733161898,Question answering
2023,0.7337051001648001,Image classification
